level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,683,410,2,3,10.095501,;
5,1,1,1,1,2,843,386,149,30,91.813179,SAPORS
5,1,1,1,1,3,1014,386,104,28,93.281036,LANE
5,1,1,1,1,4,1138,404,10,6,91.940094,-
5,1,1,1,1,5,1168,385,133,29,91.194542,BOOLE
5,1,1,1,1,6,1321,403,10,5,91.392197,-
5,1,1,1,1,7,1351,385,158,31,90.068047,DORSET
5,1,1,1,1,8,1527,404,11,6,90.068047,-
5,1,1,1,1,9,1572,385,41,29,22.17543,BH
5,1,1,1,1,10,1623,381,38,44,22.17543,25
5,1,1,1,1,11,1686,385,14,29,11.779728,8
5,1,1,1,1,12,1711,386,53,28,11.779728,ER
5,1,1,1,2,1,896,463,171,22,93.27269,TELEPHONE
5,1,1,1,2,2,1088,463,89,22,87.694832,BOOLE
5,1,1,1,2,3,1199,457,65,34,75.122406,(945
5,1,1,1,2,4,1279,457,47,34,75.122406,13)
5,1,1,1,2,5,1348,457,89,29,92.873543,51617
5,1,1,1,2,6,1459,473,10,6,90.16864,-
5,1,1,1,2,7,1491,463,92,22,75.188942,TELEX
5,1,1,1,2,8,1608,456,105,30,96.752693,123456
5,1,1,2,1,1,421,783,71,32,96.585716,Our
5,1,1,2,1,2,521,781,89,32,92.999229,Ref.
5,1,1,2,1,3,648,776,270,40,90.665176,350/PJC/EAC
5,1,1,2,1,4,1724,776,94,33,94.987198,18th
5,1,1,2,1,5,1846,777,192,39,96.525864,"January,"
5,1,1,2,1,6,2075,775,113,34,96.568535,1972.
5,1,1,2,2,1,424,984,63,30,91.804382,Dr.
5,1,1,2,2,2,523,983,90,31,86.572182,P.N.
5,1,1,2,2,3,648,981,190,38,87.813637,"Cundall,"
5,1,1,2,3,1,422,1031,149,43,96.076157,Mining
5,1,1,2,3,2,600,1035,164,36,93.263084,Surveys
5,1,1,2,3,3,795,1032,118,38,92.692001,"Ltd.,"
5,1,1,2,4,1,424,1084,171,38,96.074005,Holroyd
5,1,1,2,4,2,624,1082,113,39,96.580742,"Road,"
5,1,1,2,5,1,425,1130,190,43,96.578972,"Reading,"
5,1,1,2,6,1,425,1183,139,31,96.508804,Berks.
5,1,1,2,7,1,425,1335,97,29,96.304619,Dear
5,1,1,2,7,2,549,1335,117,35,96.364258,"Pete,"
5,1,1,3,1,1,551,1429,145,34,96.617241,Permit
5,1,1,3,1,2,723,1440,48,23,96.45694,me
5,1,1,3,1,3,803,1437,42,26,96.09124,to
5,1,1,3,1,4,876,1428,220,33,95.51104,introduce
5,1,1,3,1,5,1123,1438,75,31,96.771225,you
5,1,1,3,1,6,1227,1435,44,26,96.771225,to
5,1,1,3,1,7,1302,1431,68,30,96.38382,the
5,1,1,3,1,8,1402,1426,194,43,96.379219,facility
5,1,1,3,1,9,1624,1428,47,32,96.54834,of
5,1,1,3,1,10,1702,1425,220,35,96.066177,facsimile
5,1,1,3,2,1,428,1479,313,33,96.161934,transmission.
5,1,1,4,1,1,555,1584,43,29,96.324188,In
5,1,1,4,1,2,630,1579,217,34,96.029648,facsimile
5,1,1,4,1,3,878,1590,21,21,95.437737,a
5,1,1,4,1,4,924,1581,221,39,95.151085,photocell
5,1,1,4,1,5,1177,1578,43,33,96.967659,is
5,1,1,4,1,6,1252,1581,147,32,96.906723,caused
5,1,1,4,1,7,1428,1585,44,26,96.811996,to
5,1,1,4,1,8,1500,1579,177,40,96.952484,perform
5,1,1,4,1,9,1702,1587,22,23,96.321121,a
5,1,1,4,1,10,1751,1584,148,26,96.208031,raster
5,1,1,4,1,11,1928,1587,97,23,96.376793,scan
5,1,1,4,1,12,2051,1585,98,23,96.334007,over
5,1,1,5,1,1,31,1646,5,5,45.166683,:
5,1,1,5,1,2,430,1632,68,30,96.30777,the
5,1,1,5,1,3,529,1629,168,41,96.395187,subject
5,1,1,5,1,4,728,1639,113,31,96.443909,copy.
5,1,1,5,1,5,900,1630,71,31,92.710136,The
5,1,1,5,1,6,1001,1626,245,35,95.75,variations
5,1,1,5,1,7,1276,1629,46,32,96.490715,of
5,1,1,5,1,8,1350,1627,122,41,96.490715,print
5,1,1,5,1,9,1503,1626,170,41,96.580521,density
5,1,1,5,1,10,1701,1636,48,23,96.699806,on
5,1,1,5,1,11,1779,1627,68,32,96.807091,the
5,1,1,5,1,12,1878,1627,195,32,96.316505,document
5,1,1,5,2,1,420,1690,129,23,64.418839,cause
5,1,1,5,2,2,579,1681,69,32,96.572716,the
5,1,1,5,2,3,675,1681,221,40,96.313103,photocell
5,1,1,5,2,4,929,1686,44,26,96.496948,to
5,1,1,5,2,5,1002,1686,196,33,96.309242,generate
5,1,1,5,2,6,1227,1689,47,23,96.309242,an
5,1,1,5,2,7,1303,1680,218,47,96.551201,analogous
5,1,1,5,2,8,1552,1677,244,33,96.467499,electrical
5,1,1,5,2,9,1826,1675,122,35,96.747169,video
5,1,1,5,2,10,1978,1674,164,42,96.291893,signal.
5,1,1,5,3,1,428,1729,94,32,95.76619,This
5,1,1,5,3,2,554,1728,143,42,95.920029,signal
5,1,1,5,3,3,729,1728,41,33,96.780182,is
5,1,1,5,3,4,803,1731,96,32,96.14653,used
5,1,1,5,3,5,929,1735,44,26,96.424995,to
5,1,1,5,3,6,1001,1729,197,32,95.326294,modulate
5,1,1,5,3,7,1229,1738,21,23,96.564484,a
5,1,1,5,3,8,1278,1728,191,39,95.201759,"carrier,"
5,1,1,5,3,9,1498,1726,125,34,96.681274,which
5,1,1,5,3,10,1654,1726,43,34,96.01889,is
5,1,1,5,3,11,1729,1725,271,35,96.090729,transmitted
5,1,1,5,3,12,2029,1732,44,26,95.567986,to
5,1,1,5,3,13,2102,1735,23,22,96.621651,a
5,1,1,5,4,1,428,1786,145,26,96.208374,remote
5,1,1,5,4,2,604,1777,271,35,96.229218,destination
5,1,1,5,4,3,902,1788,96,23,96.500183,over
5,1,1,5,4,4,1028,1788,21,23,96.56768,a
5,1,1,5,4,5,1077,1777,121,34,96.56768,radio
5,1,1,5,4,6,1227,1789,47,22,96.008141,or
5,1,1,5,4,7,1305,1780,118,31,96.898796,cable
5,1,1,5,4,8,1453,1774,344,37,96.232048,communications
5,1,1,5,4,9,1829,1774,114,35,96.177155,link.
5,1,1,6,1,1,552,1881,46,30,96.582016,At
5,1,1,6,1,2,630,1881,69,30,96.489685,the
5,1,1,6,1,3,729,1885,143,26,96.550674,remote
5,1,1,6,1,4,905,1876,213,46,96.344894,"terminal,"
5,1,1,6,1,5,1152,1876,298,35,95.898125,demodulation
5,1,1,6,1,6,1479,1882,293,28,95.898125,reconstructs
5,1,1,6,1,7,1804,1878,70,32,96.930687,the
5,1,1,6,1,8,1901,1875,124,33,96.409752,video
5,1,1,6,2,1,428,1927,166,43,96.656944,"signal,"
5,1,1,6,2,2,626,1927,124,34,96.656944,which
5,1,1,6,2,3,779,1927,42,34,96.757217,is
5,1,1,6,2,4,854,1929,96,32,96.225037,used
5,1,1,6,2,5,980,1933,44,28,96.148865,to
5,1,1,6,2,6,1050,1929,199,32,96.177399,modulate
5,1,1,6,2,7,1281,1929,68,32,96.760803,the
5,1,1,6,2,8,1378,1926,170,41,96.216583,density
5,1,1,6,2,9,1578,1927,45,32,96.543739,of
5,1,1,6,2,10,1651,1924,122,43,96.543739,print
5,1,1,6,2,11,1801,1927,200,40,96.709641,produced
5,1,1,6,2,12,2026,1926,50,39,96.595482,by
5,1,1,6,2,13,2104,1935,21,23,96.023796,a
5,1,1,6,3,1,428,1977,199,42,95.94735,printing
5,1,1,6,3,2,653,1977,166,33,96.215668,device.
5,1,1,6,3,3,879,1977,92,33,94.426743,This
5,1,1,6,3,4,1004,1977,144,33,96.804207,device
5,1,1,6,3,5,1179,1977,43,33,96.553055,is
5,1,1,6,3,6,1254,1977,197,41,95.941902,scanning
5,1,1,6,3,7,1480,1975,46,34,95.955116,in
5,1,1,6,3,8,1554,1986,21,23,96.715645,a
5,1,1,6,3,9,1603,1983,148,26,96.567993,raster
5,1,1,6,3,10,1779,1986,96,23,96.800385,scan
5,1,1,6,3,11,1904,1974,298,42,96.423141,synchronised
5,1,1,6,4,1,425,2028,100,33,96.870293,with
5,1,1,6,4,2,556,2029,93,32,96.505676,that
5,1,1,6,4,3,680,2035,44,25,96.48925,at
5,1,1,6,4,4,756,2029,68,32,96.48925,the
5,1,1,6,4,5,855,2026,296,43,96.047295,transmitting
5,1,1,6,4,6,1181,2026,213,34,95.52803,terminal.
5,1,1,6,4,7,1453,2029,44,31,95.696526,As
5,1,1,6,4,8,1528,2037,22,21,96.14254,a
5,1,1,6,4,9,1578,2028,167,38,96.14254,"result,"
5,1,1,6,4,10,1779,2037,21,21,96.670792,a
5,1,1,6,4,11,1829,2023,222,35,95.937218,facsimile
5,1,1,6,5,1,430,2088,95,30,96.840752,copy
5,1,1,6,5,2,554,2079,46,32,96.979881,of
5,1,1,6,5,3,632,2080,68,31,96.831741,the
5,1,1,6,5,4,729,2077,170,41,95.882057,subject
5,1,1,6,5,5,929,2079,195,32,96.03199,document
5,1,1,6,5,6,1155,2076,43,33,96.890923,is
5,1,1,6,5,7,1227,2079,216,39,96.200584,produced.
5,1,1,7,1,1,555,2179,195,40,96.046783,Probably
5,1,1,7,1,2,777,2188,76,31,96.417274,you
5,1,1,7,1,3,876,2179,98,31,96.829491,have
5,1,1,7,1,4,1005,2187,94,23,96.550247,uses
5,1,1,7,1,5,1131,2178,70,32,96.640526,for
5,1,1,7,1,6,1232,2176,91,34,96.640999,this
5,1,1,7,1,7,1356,2175,194,42,96.640999,facility
5,1,1,7,1,8,1582,2175,44,33,96.528244,in
5,1,1,7,1,9,1653,2185,98,32,96.726303,your
5,1,1,7,1,10,1779,2173,318,44,96.280357,organisation.
5,1,1,8,1,1,1354,2280,119,30,96.477913,Yours
5,1,1,8,1,2,1506,2275,242,43,96.207283,"sincerely,"
5,1,1,8,2,1,1356,2605,90,31,85.396454,P.J.
5,1,1,8,2,2,1483,2605,121,31,96.709373,CROSS
5,1,1,8,3,1,1356,2656,122,37,96.894356,Group
5,1,1,8,3,2,1506,2655,147,32,93.166771,Leader
5,1,1,8,3,3,1679,2667,24,6,81.24437,-
5,1,1,8,3,4,1732,2650,223,36,96.819794,Facsimile
5,1,1,8,3,5,1984,2652,198,33,96.515717,Research
5,1,1,8,4,1,1040,3145,159,26,93.0495,Registered
5,1,1,8,4,2,1212,3145,29,21,93.0495,in
5,1,1,8,4,3,1257,3144,133,26,90.75946,England:
5,1,1,8,4,4,1449,3145,49,22,96.476448,No.
5,1,1,8,4,5,1510,3145,74,22,78.466873,2038
5,1,1,8,5,1,143,3192,55,26,95.769897,No.
5,1,1,8,5,2,218,3192,10,25,96.384888,1
5,1,1,8,5,3,912,3181,158,26,76.314262,Registered
5,1,1,8,5,4,1089,3183,100,22,96.375771,Office:
5,1,1,8,5,5,1252,3181,36,22,45.243679,80
5,1,1,8,5,6,1302,3181,97,22,87.418564,Vicara
5,1,1,8,5,7,1446,3183,80,25,92.570572,"Lane,"
5,1,1,8,5,8,1540,3183,94,20,88.148262,Ilford.
5,1,1,8,5,9,1648,3181,97,24,38.820454,"Eseex,"
